NUTS2,CO2 seq rate tCO2/(ha y),density tCO2/ha,rotation_age_years,Source
CH07,4.966411466254624,297.8273970284073,61.02871798407285,avg neighbours (100km)
DE11,5.477838254147812,376.2406770833333,68.68415232933253,DE1→NUTS1
DK04,4.459081712962963,334.4311284722222,75.0,direct
DK02,5.392161805555555,404.4121354166666,75.0,direct
EE00,3.4468603233243362,266.25465625,77.24556009661853,EE→NUTS0
EL30,4.709423361163665,225.37071711033948,55.6184632879113,avg neighbours (100km)
DK05,3.425228125,256.89210937499996,74.99999999999999,direct
EL54,4.829923954821694,227.15152777777777,55.24848229412199,avg neighbours (100km)
ES23,3.106216291423002,111.31197916666665,35.835231266420614,avg neighbours (100km)
ES24,3.1626209596473824,115.8284142485119,36.40065739639021,avg neighbours (100km)
ES41,2.6401953272576697,158.7889370969742,65.51185332153857,avg neighbours (100km)
EL41,5.520778624093742,220.45036788456406,43.14923577607617,avg neighbours (100km)
EL61,4.829923954821694,227.15152777777777,55.24848229412199,avg neighbours (100km)
ES30,2.6401953272576697,158.7889370969742,65.51185332153857,avg neighbours (100km)
ES42,2.887306976396431,136.17956690228175,50.81489882647199,avg neighbours (100km)
ES70,2.7834827803505355,147.45867496968043,57.7271085013968,avg country ES
EL62,4.384998685930512,220.57622685185186,56.61456596349789,avg neighbours (100km)
EL63,4.681615531857966,224.9597608024691,55.70384351724729,avg neighbours (100km)
EL42,5.310091964366923,221.19566241219079,46.073024462718685,avg neighbours (100km)
EL43,4.8880179172158735,223.65939952705742,52.50305719121953,avg neighbours (100km)
EL64,4.681615531857966,224.9597608024691,55.70384351724729,avg neighbours (100km)
ES43,2.3984555512831354,181.82844396612813,80.2626579242213,avg neighbours (100km)
ES51,3.1767221267034773,116.9575230189732,36.54201392888261,avg neighbours (100km)
FI19,2.390375801282051,155.37442708333333,65.0,FI→country (Pilli)
EL51,5.637215155372088,219.84535069444442,41.41944348756541,avg neighbours (100km)
EL65,4.644538426117035,224.41181905864195,55.81768382302862,avg neighbours (100km)
ES52,3.0755500209157636,122.98850138992229,41.25252338391494,avg neighbours (100km)
ES53,3.0755500209157636,122.98850138992229,41.25252338391494,avg neighbours (100km)
EL52,5.231603856591368,223.01137307098764,48.06975166541978,avg neighbours (100km)
EL53,4.781372210100414,224.99452926587304,54.54820736368261,avg neighbours (100km)
ES11,2.3169803137642524,189.43659014343584,85.17061777384619,avg neighbours (100km)
ES61,2.5344116325260835,170.1034691183331,72.46601602692165,avg neighbours (100km)
ES62,2.832422876612759,143.09051247017905,54.84447941243619,avg neighbours (100km)
ES63,2.5344116325260835,170.1034691183331,72.46601602692165,avg neighbours (100km)
ES64,2.7834827803505355,147.45867496968043,57.7271085013968,avg country ES
FRA4,4.125998689285884,152.17732794715448,36.882543938348384,FR→country (Pilli)
FI1B,2.390375801282051,155.37442708333333,65.0,FI→country (Pilli)
ES12,2.3708494826798217,184.32864796902558,81.89415703179492,avg neighbours (100km)
ES13,2.7057537004534975,151.4765214108888,61.080413873251366,avg neighbours (100km)
ES21,2.8486420088140627,138.84107984312232,52.759590692636046,avg neighbours (100km)
BG33,5.906312222222221,217.4099583333333,36.80976388537988,BG→NUTS0
BG34,5.906312222222221,217.4099583333333,36.80976388537988,BG→NUTS0
DE12,5.477838254147812,376.2406770833333,68.68415232933253,DE1→NUTS1
DE13,5.477838254147812,376.2406770833333,68.68415232933253,DE1→NUTS1
DE14,5.477838254147812,376.2406770833333,68.68415232933253,DE1→NUTS1
DE80,5.125128753869968,357.55843749999997,69.76574729561843,DE8→NUTS1
DE91,5.126314377572891,350.5332892628205,68.37920257024585,DE→country (Pilli)
DE92,5.126314377572891,350.5332892628205,68.37920257024585,DE→country (Pilli)
BG41,5.906312222222221,217.4099583333333,36.80976388537988,BG→NUTS0
BG42,5.906312222222221,217.4099583333333,36.80976388537988,BG→NUTS0
DE21,5.669071520087455,427.00653645833336,75.32212901977043,DE2→NUTS1
DE22,5.669071520087455,427.00653645833336,75.32212901977043,DE2→NUTS1
DE93,5.126314377572891,350.5332892628205,68.37920257024585,DE→country (Pilli)
DE94,5.126314377572891,350.5332892628205,68.37920257024585,DE→country (Pilli)
DEA1,5.128776131221719,298.0610416666666,58.11543222801301,DEA→NUTS1
CY00,5.8794025155372065,217.6534975694444,37.27073184559843,avg neighbours (100km)
CZ01,4.762449999999999,320.4895833333333,67.29510721022443,direct
CZ02,4.762449999999999,320.4895833333333,67.29510721022443,direct
DE23,5.669071520087455,427.00653645833336,75.32212901977043,DE2→NUTS1
DE24,5.669071520087455,427.00653645833336,75.32212901977043,DE2→NUTS1
DEA2,5.128776131221719,298.0610416666666,58.11543222801301,DEA→NUTS1
DEA3,5.128776131221719,298.0610416666666,58.11543222801301,DEA→NUTS1
DEA4,5.128776131221719,298.0610416666666,58.11543222801301,DEA→NUTS1
AT11,5.224673622357175,349.0983680555555,66.81725851002642,direct
AT12,4.165931678397854,295.69298611111105,70.97883713369718,direct
AT13,5.298285087719298,503.33708333333334,95.0,direct
CZ03,4.762449999999999,320.4895833333333,67.29510721022443,direct
CZ04,4.762449999999999,320.4895833333333,67.29510721022443,direct
DE25,5.669071520087455,427.00653645833336,75.32212901977043,DE2→NUTS1
DE26,5.669071520087455,427.00653645833336,75.32212901977043,DE2→NUTS1
DEA5,5.128776131221719,298.0610416666666,58.11543222801301,DEA→NUTS1
DEB1,4.716680257700245,321.58786458333327,68.18097624029592,DEB→NUTS1
DEB2,4.716680257700245,321.58786458333327,68.18097624029592,DEB→NUTS1
