country,region,nuts2,forest_type,con_broad,mgmt_type,rotation_age,mai_vol_m3_ha_yr,bcef,mai_co2_tCO2_ha_yr,density_tCO2_ha
IT,AA,ITH1,FS,broad,H,95,4.326315789473684,0.41,4.0649342105263155,386.16875
IT,Ab,ITF1,FS,broad,H,95,3.4568421052631577,0.41,3.247991228070175,308.5591666666666
IT,Ba,ITF5,FS,broad,H,95,4.252631578947368,0.41,3.9957017543859648,379.59166666666664
IT,Cal,ITF6,FS,broad,H,95,3.409473684210526,0.41,3.2034846491228066,304.33104166666664
IT,Cam,ITF3,FS,broad,H,95,3.371578947368421,0.41,3.1678793859649117,300.9485416666666
IT,ER,ITH5,FS,broad,H,95,2.2736842105263158,0.42,2.1884210526315786,207.89999999999998
IT,FVG,ITH4,FS,broad,H,95,3.236842105263158,0.41,3.0412828947368418,288.92187499999994
IT,La,ITI4,FS,broad,H,95,2.5326315789473686,0.42,2.4376578947368417,231.57749999999996
IT,Li,ITC3,FS,broad,H,95,2.5726315789473686,0.42,2.4761578947368426,235.23500000000004
IT,Lo,ITC4,FS,broad,H,95,4.931578947368421,0.41,4.6336293859649125,440.1947916666667
IT,Mo,ITF2,FS,broad,H,95,4.762105263157895,0.41,4.474394736842105,425.06749999999994
IT,Pi,ITC1,FS,broad,H,95,2.7842105263157895,0.42,2.6798026315789474,254.58125
IT,Si,ITG1,FS,broad,H,95,2.0757894736842104,0.42,1.9979473684210522,189.80499999999995
IT,Tn,ITH2,FS,broad,H,95,2.463157894736842,0.42,2.3707894736842103,225.225
IT,To,ITI1,FS,broad,H,95,5.41578947368421,0.41,5.088585526315788,483.4156249999999
IT,Ve,ITH3,FS,broad,H,95,4.44,0.41,4.171749999999999,396.31624999999997
IT,AA,ITH1,LD,con,H,25,15.696,0.49,17.6253,440.6325
IT,FVG,ITH4,LD,con,H,25,25.531999999999996,0.49,28.670308333333328,716.7577083333332
IT,Lo,ITC4,LD,con,H,25,16.504,0.49,18.53261666666667,463.31541666666675
